id,question,answer,false_answer,img
0,What jersey number Lebron have?,23,6;24;8,
1,What's Lebron's Nickname?,The King,The Queen;The Qing;Black Mamba,
2,Who's AD?,Anthony Davis,Active Directory;Andre Drummond;Andrew Davis,
3,Which is Kobe Bryant's one of favorite movies?,Whiplash,Lord of the Rings;Ali;Anaconda,
4,What's the name of Trevor Ariza's child?,Tajh Ariza,Maj Ariza;Shia Ariza;John Ariza,
5,What date did Alex Caruso sign with Oklahoma City Thunder?,9/23/2016,8/16/2015;11/13/2016;1/13/2017,
6,Why did Alex Caruso shave his head (Hint: Awareness)?,Donation for testicular cancer research,Donation to his former school; Donation to Church for Tax Deductible;Donation for Democratic Party,
7,Which Player was the most google searched on 3/16/2022?,Lebron James,Alex Caruso; Russell Westbrook; Magic Johnson,
8,Who is Kobe's eldest child?,Natalia Bryant,Gianna Bryant; Capri Bryant;Diamante Bryant,
9,What date did D'Angelo betray Nick Young?,3/30/2016,1/2/2016;3/12/2016;12/27/2015,
10,Who is the last Caucatation Lakers player to make into All-Star Game who's not Pau Gasol? ,Gail Goodrich,Jerry West; Rudy LaRusso; Gail Goodrich,
11,Which Player was not voted into 1963 All-Star game?,Dick GarMaker,Elgin Baylor;Rudy LaRusso;Jerry West,
12,How many jerseys did Lakers retire as of 3/19/2022?,11,7;14;16,
13,Was Game 6 against Sacramento Kings during 2002 Playoffs rigged?,Yes,No;No;No,
14,What was the offensive rating of 2002-03 Lakers team during regular season?,107.2,108.5;100.4;103;5,
15,Who is better basketball player?,Russell Westbrook,Kobe Bryant when he was 2 years old;Kobe Bryant when he was 8 years old; Kobe Bryant when he's literally sleeping,
16,What's longest losing streak by Lakers?,10,6;8;12,
17,Who was Kobe Bryant traded for after he was drafted by Charlotte Hornets?,Vlade Divac,Cash Consideration and 1st Round Pick;Dave Cowns and 2nd Round Pick;1st Round and 2nd Round pick,
18,How many techcnial fouls does Shaquille O'Neal have as a player?,150,88;125;168,
19,How much did Kobe Bryant improve on his 3-Points shooting after he cut his afro?,13%,4%;8%;11%,
20,What team was Lakers playing against when Dwight Howard and Steve Nash argue with each other during the game?,Miami Heat,Cleveland Cavaliers;Houston Rockets;Portland Blazers,
21,Who works as a Executive Security Agent for Lakers (As of Sep 2021)?,Mike Gavaldon III,Frank Thompson;Roland Dore;Andrew Brook,
22,Which is correct one for Lakers' official purple color (in Hex)?,#552583,#3c1a5d;#622b99;#8846cb,
23,"How many scores did Kobe make on June 9, 2000 against Pacers on NBA Finals?",2,24;33;51,
24,Which NBA Finals did Lakers loss to Boston Celtics?,2010,2011;2013;2009,
25,When was Jeremy Lin traded to Lakers from Houston Rockets?,7/13/2014,7/11/2014;7/12/2014;7/14/2014,
