id,question,answer,false_answer,img
0,What jersey number Lebron have?,23,6;24;8,
1,What's Lebron's Nickname?,LBJ,The Queen;LeGM;LeCoach,
2,Who's AD?,Anthony Davis,Active Directory;Andre Drummond;Andrew Davis,
3,Who's this guy?,(Some janitor),,
4,What's the name of Trevor Ariza's child?,Tajh Ariza,Maj Ariza;Shia Ariza;John Ariza,
5,What date did Alex Caruso sign with Oklahoma City Thunder?,9/23/2016,Donation for Lakers G-League team; Donation to Repulican Party;Donation for Democratic Party,
6,Why did Alex Caruso shave his head (Hint: Awareness)?,Donation for testicular (balls) cancer research,Donation for Lakers G-League team; Donation to Repulican Party;Donation for Democratic Party,
7,Which Player was the most google searched on 3/16/2022?,LBJ,Not Ready;Not Ready;Not Ready,
8,-,-,Not Ready;Not Ready;Not Ready,
9,-,-,Not Ready;Not Ready;Not Ready,
10,-,-,Not Ready;Not Ready;Not Ready,
11,-,-,Not Ready;Not Ready;Not Ready,
12,-,-,Not Ready;Not Ready;Not Ready,
13,-,-,Not Ready;Not Ready;Not Ready,
14,-,-,Not Ready;Not Ready;Not Ready,
15,-,-,Not Ready;Not Ready;Not Ready,
16,-,-,Not Ready;Not Ready;Not Ready,
17,-,-,Not Ready;Not Ready;Not Ready,
18,-,-,Not Ready;Not Ready;Not Ready,
19,-,-,Not Ready;Not Ready;Not Ready,
20,-,-,Not Ready;Not Ready;Not Ready,
21,-,-,Not Ready;Not Ready;Not Ready,
22,-,-,Not Ready;Not Ready;Not Ready,
23,-,-,Not Ready;Not Ready;Not Ready,
24,-,-,Not Ready;Not Ready;Not Ready,
25,-,-,Not Ready;Not Ready;Not Ready,
26,-,-,Not Ready;Not Ready;Not Ready,
27,-,-,Not Ready;Not Ready;Not Ready,
28,-,-,Not Ready;Not Ready;Not Ready,
29,-,-,Not Ready;Not Ready;Not Ready,
30,-,-,Not Ready;Not Ready;Not Ready,
31,-,-,Not Ready;Not Ready;Not Ready,
32,-,-,Not Ready;Not Ready;Not Ready,
33,-,-,Not Ready;Not Ready;Not Ready,
34,-,-,Not Ready;Not Ready;Not Ready,
35,-,-,Not Ready;Not Ready;Not Ready,
36,-,-,Not Ready;Not Ready;Not Ready,
37,-,-,Not Ready;Not Ready;Not Ready,
38,-,-,Not Ready;Not Ready;Not Ready,
39,-,-,Not Ready;Not Ready;Not Ready,
40,-,-,Not Ready;Not Ready;Not Ready,
41,-,-,Not Ready;Not Ready;Not Ready,
42,-,-,Not Ready;Not Ready;Not Ready,
43,-,-,Not Ready;Not Ready;Not Ready,
44,-,-,Not Ready;Not Ready;Not Ready,
45,-,-,Not Ready;Not Ready;Not Ready,
46,-,-,Not Ready;Not Ready;Not Ready,
47,-,-,Not Ready;Not Ready;Not Ready,
48,-,-,Not Ready;Not Ready;Not Ready,
49,-,-,Not Ready;Not Ready;Not Ready,
50,-,-,Not Ready;Not Ready;Not Ready,
51,-,-,Not Ready;Not Ready;Not Ready,
52,-,-,Not Ready;Not Ready;Not Ready,
53,-,-,Not Ready;Not Ready;Not Ready,
54,-,-,Not Ready;Not Ready;Not Ready,
55,-,-,Not Ready;Not Ready;Not Ready,
56,-,-,Not Ready;Not Ready;Not Ready,
57,-,-,Not Ready;Not Ready;Not Ready,
58,-,-,Not Ready;Not Ready;Not Ready,
59,-,-,Not Ready;Not Ready;Not Ready,
60,-,-,Not Ready;Not Ready;Not Ready,
61,-,-,Not Ready;Not Ready;Not Ready,
62,-,-,Not Ready;Not Ready;Not Ready,
63,-,-,Not Ready;Not Ready;Not Ready,
64,-,-,Not Ready;Not Ready;Not Ready,
65,-,-,Not Ready;Not Ready;Not Ready,
66,-,-,Not Ready;Not Ready;Not Ready,
67,-,-,Not Ready;Not Ready;Not Ready,
68,-,-,Not Ready;Not Ready;Not Ready,
69,-,-,Not Ready;Not Ready;Not Ready,
70,-,-,Not Ready;Not Ready;Not Ready,
71,-,-,Not Ready;Not Ready;Not Ready,
72,-,-,Not Ready;Not Ready;Not Ready,
73,-,-,Not Ready;Not Ready;Not Ready,
74,-,-,Not Ready;Not Ready;Not Ready,
75,-,-,Not Ready;Not Ready;Not Ready,
76,-,-,Not Ready;Not Ready;Not Ready,
77,-,-,Not Ready;Not Ready;Not Ready,
78,-,-,Not Ready;Not Ready;Not Ready,
79,-,-,Not Ready;Not Ready;Not Ready,
80,-,-,Not Ready;Not Ready;Not Ready,
81,-,-,Not Ready;Not Ready;Not Ready,
82,-,-,Not Ready;Not Ready;Not Ready,
83,-,-,Not Ready;Not Ready;Not Ready,
84,-,-,Not Ready;Not Ready;Not Ready,
85,-,-,Not Ready;Not Ready;Not Ready,
86,-,-,Not Ready;Not Ready;Not Ready,
87,-,-,Not Ready;Not Ready;Not Ready,
88,-,-,Not Ready;Not Ready;Not Ready,
89,-,-,Not Ready;Not Ready;Not Ready,
90,-,-,Not Ready;Not Ready;Not Ready,
91,-,-,Not Ready;Not Ready;Not Ready,
92,-,-,Not Ready;Not Ready;Not Ready,
93,-,-,Not Ready;Not Ready;Not Ready,
94,-,-,Not Ready;Not Ready;Not Ready,
95,-,-,Not Ready;Not Ready;Not Ready,
96,-,-,Not Ready;Not Ready;Not Ready,
97,-,-,Not Ready;Not Ready;Not Ready,
98,-,-,Not Ready;Not Ready;Not Ready,
99,-,-,Not Ready;Not Ready;Not Ready,
100,-,-,Not Ready;Not Ready;Not Ready,
